Slice,RU,UE,RB,Value
0,0,0,0,1.0
0,0,0,1,6.7467445328017425e-09
0,0,0,2,0.0
0,0,1,0,0.0
0,0,1,1,2.81356215602412e-09
0,0,1,2,2.9427325820719284e-09
0,0,2,0,0.0
0,0,2,1,0.0
0,0,2,2,0.0
0,0,3,0,0.0
0,0,3,1,0.0
0,0,3,2,0.0
0,0,4,0,0.0
0,0,4,1,0.0
0,0,4,2,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,0,2,0.0
0,1,1,0,0.0
0,1,1,1,0.0
0,1,1,2,0.0
0,1,2,0,0.0
0,1,2,1,9.615400119697183e-09
0,1,2,2,0.9999999406219683
0,1,3,0,0.0
0,1,3,1,0.0
0,1,3,2,0.0
0,1,4,0,0.0
0,1,4,1,1.3649280379557535e-09
0,1,4,2,2.1129576340443566e-09
0,2,0,0,0.0
0,2,0,1,0.0
0,2,0,2,0.0
0,2,1,0,0.0
0,2,1,1,0.0
0,2,1,2,0.0
0,2,2,0,0.0
0,2,2,1,0.0
0,2,2,2,0.0
0,2,3,0,0.0
0,2,3,1,0.9999999759716147
0,2,3,2,5.0827578819647884e-08
0,2,4,0,0.0
0,2,4,1,0.0
0,2,4,2,0.0
0,3,0,0,0.0
0,3,0,1,0.0
0,3,0,2,0.0
0,3,1,0,0.0
0,3,1,1,0.0
0,3,1,2,0.0
0,3,2,0,0.0
0,3,2,1,0.0
0,3,2,2,0.0
0,3,3,0,0.0
0,3,3,1,0.0
0,3,3,2,0.0
0,3,4,0,0.0
0,3,4,1,0.0
0,3,4,2,0.0
